Respondent,duration,code,priorQ1,updatedQ1,priorQ2,updatedQ2,priorQ3,updatedQ3,priorQ4,updatedQ4,priorQ5,updatedQ5,priorQ6,updatedQ6,priorQ7,updatedQ7,priorQ8,updatedQ8 ,priorQ9,updatedQ9,priorQ10,updatedQ10 ,Advice1,Advice2,Advice3,Advice4,Advice5,Advice6,Advice7,Advice8,Advice9,Advice10,True1,True2,True3,True4,True5,True6,True7,True8,True9,True10,SlNoQ1,SlNoQ2,SlNoQ3,SlNoQ4,SlNoQ5,SlNoQ6,SlNoQ7,SlNoQ8,SlNoQ9,SlNoQ10
11,386,3342,88,85,26,24,15,12,64,68,78,75,82,80,28,26,4,4,7,8,83,85,81,21,11,66,73,79,25,4,10,86,78,19,8,72,75,81,18,3,10,90,78,19,108,72,75,181,118,103,10,190
12,276,3254,79,81,53,53,55,57,3,3,24,23,78,78,75,75,37,41,81,83,79,78,74,54,60,3,26,77,72,49,86,76,80,51,60,2,22,87,71,35,90,85,180,151,160,102,122,87,71,135,90,185
13,336,3117,62,58,23,26,82,79,78,80,64,70,88,88,72,68,21,18,74,81,22,26,54,32,77,81,74,87,64,16,80,31,49,25,85,92,70,93,59,16,86,29,49,25,85,92,70,93,159,116,186,29
14,452,3132,33,33,67,65,19,19,66,66,3,3,70,70,26,25,75,75,72,75,81,81,34,59,21,54,3,71,21,68,77,76,29,54,19,49,3,69,15,62,66,79,129,154,19,49,3,169,115,162,66,79
15,428,3231,85,86,6,7,4,4,45,50,62,63,64,70,68,70,24,26,19,20,38,42,86,9,4,64,64,77,71,31,25,54,89,7,3,58,59,66,69,29,23,50,189,7,103,58,159,66,169,29,23,150
16,325,3185,74,77,82,77,71,70,36,36,88,84,40,42,20,20,78,79,18,19,67,67,80,72,67,38,78,48,21,79,19,67,86,72,63,32,89,33,19,82,17,65,186,172,163,32,89,133,19,182,117,65
17,321,3146,68,68,38,40,68,70,62,65,50,50,46,46,33,38,82,82,76,72,41,45,65,43,72,68,51,45,41,81,71,50,66,36,70,61,49,44,36,78,69,42,166,136,170,161,149,44,36,78,169,42
18,318,3411,49,50,25,22,5,5,86,80,47,49,79,77,33,37,45,48,61,59,68,70,55,16,5,77,52,79,41,54,61,72,53,16,4,85,54,84,36,51,57,72,153,116,4,85,54,184,36,51,57,172
19,460,3375,85,86,26,30,88,85,1,1,6,7,10,11,77,75,88,80,88,88,13,12,88,34,86,1,9,12,74,77,87,11,100,28,100,1,6,12,81,85,93,8,100,28,200,1,106,12,81,85,93,108
20,392,3126,42,42,86,80,26,20,18,18,14,12,83,80,62,52,62,64,30,30,40,36,43,76,18,19,10,74,43,64,32,34,36,79,18,17,10,70,37,58,26,29,136,79,18,17,110,70,37,158,126,129
21,493,3099,69,79,77,74,7,8,91,88,23,36,78,79,11,12,88,86,31,41,86,82,81,73,9,86,43,79,12,85,49,78,91,71,7,89,36,82,12,98,43,78,91,171,7,189,136,82,12,98,143,178
22,450,3471,52,57,72,72,4,4,26,27,79,80,14,13,2,2,9,9,67,68,68,68,62,75,4,31,77,11,2,10,71,66,56,76,3,29,79,8,1,9,68,56,156,176,103,29,179,108,101,9,68,56
23,369,3292,54,53,61,64,52,52,52,53,38,42,53,53,68,70,49,39,55,58,29,28,51,73,51,60,48,54,73,35,61,28,46,71,48,60,33,52,83,35,64,26,46,171,48,160,133,52,183,35,164,26
24,492,3329,88,84,48,50,73,73,49,54,89,87,85,83,68,69,75,75,43,48,45,47,79,54,75,65,86,81,71,77,54,52,84,51,76,65,90,78,74,87,49,54,184,51,176,165,90,78,74,87,49,54
25,520,3213,23,23,72,77,6,6,77,77,26,26,36,36,38,38,45,45,12,12,36,36,17,84,5,81,27,25,34,22,12,32,15,93,4,91,25,23,28,21,12,26,15,193,104,191,125,23,28,21,12,126
26,397,3013,67,70,42,42,37,39,58,60,28,30,75,78,41,45,3,3,42,42,65,65,73,45,44,65,32,81,51,3,44,64,73,43,40,67,26,91,47,3,41,58,73,43,40,67,126,191,47,3,41,158
27,352,3059,12,12,19,24,2,2,22,17,77,76,28,27,78,78,90,89,89,89,65,65,12,27,1,16,74,26,73,86,81,63,12,21,1,24,77,23,75,90,78,55,12,121,1,124,177,123,175,190,78,55
28,504,3354,38,49,28,28,31,29,65,73,36,42,70,71,45,52,33,29,86,85,80,80,53,27,25,77,44,73,56,25,84,79,46,21,19,87,39,77,62,18,92,82,146,121,119,87,39,77,62,118,192,82
29,527,3407,68,65,65,71,45,50,48,55,33,39,51,55,15,13,17,22,41,46,51,52,61,76,56,66,44,62,12,27,51,54,57,80,62,72,40,56,11,25,47,51,57,80,62,72,40,156,111,125,147,151
30,634,3307,85,85,80,80,64,64,76,76,66,68,85,85,73,74,80,80,82,83,50,51,87,79,62,79,73,87,77,82,87,55,97,83,56,81,76,99,79,99,93,53,197,83,156,181,76,99,179,199,93,153
31,491,3280,52,52,90,90,36,38,86,86,94,92,70,70,12,13,40,44,3,3,94,90,50,86,44,74,87,73,14,51,5,81,42,90,40,81,99,75,12,47,4,78,142,190,40,81,99,175,112,47,4,78
32,288,3364,90,88,90,85,4,5,50,55,20,21,60,65,40,38,55,60,35,40,30,38,87,77,7,60,22,72,34,68,45,36,95,85,5,52,20,70,30,61,43,38,95,85,5,152,20,170,130,161,43,38
33,470,3013,70,70,40,40,35,36,50,60,35,35,80,80,45,45,4,4,38,38,55,55,73,45,44,65,32,81,51,3,44,64,73,43,40,67,26,91,47,3,41,58,73,43,40,67,126,191,47,3,41,158
34,334,3428,32,35,40,42,19,15,15,15,72,68,8,8,59,61,52,49,71,70,91,92,43,44,12,16,64,9,63,45,67,95,34,40,11,16,59,7,55,44,64,95,34,40,111,16,59,107,55,44,64,195
35,539,3244,36,34,73,72,68,66,73,72,90,90,30,29,71,72,28,29,73,74,14,13,35,71,65,72,85,30,76,31,77,12,35,68,66,74,98,24,85,29,87,11,35,68,166,174,98,24,185,29,87,111
36,485,3030,55,55,27,25,63,63,72,72,83,77,2,4,2,2,68,72,80,80,68,68,59,21,63,72,68,5,3,77,79,64,54,15,55,71,62,4,3,86,82,59,154,115,55,71,162,4,3,86,182,59
37,298,3067,67,61,72,70,45,49,73,73,69,69,40,43,78,83,80,80,35,43,65,68,53,72,48,77,77,45,84,81,51,73,46,70,33,87,86,43,92,92,47,75,146,170,133,87,86,43,192,92,147,175
38,384,3432,9,9,73,75,78,78,45,45,39,39,92,89,62,62,85,85,88,88,81,81,10,79,73,44,32,79,62,88,85,74,9,82,71,41,31,82,61,100,98,70,109,82,171,41,31,182,61,100,98,70
39,442,3414,40,40,50,50,70,70,20,20,80,80,70,70,90,90,40,40,90,90,80,80,34,59,77,14,87,78,86,47,87,61,28,57,79,13,97,88,100,45,99,57,28,157,179,113,197,188,200,45,99,57
40,551,3429,62,69,36,40,51,55,82,83,33,34,68,72,68,70,59,62,48,49,61,62,77,45,64,86,36,81,73,68,52,65,66,43,59,88,38,91,73,69,50,66,66,43,159,88,38,91,73,69,50,166
41,533,3460,79,81,22,23,40,45,65,69,55,58,54,70,79,81,32,38,80,82,29,30,87,25,53,73,64,81,87,44,87,34,96,18,46,83,58,91,97,39,96,30,96,118,146,183,158,91,97,139,196,130
42,610,3058,77,67,43,35,77,74,35,33,23,21,19,18,9,8,37,32,13,12,7,8,73,31,86,48,25,25,10,31,14,10,75,27,90,38,18,19,10,29,14,10,75,27,90,138,118,119,110,29,14,10
43,472,3060,36,50,19,14,35,50,87,82,40,44,55,60,55,65,28,30,28,30,40,50,50,12,48,81,44,63,65,32,31,55,41,11,40,78,40,55,65,30,29,53,141,111,140,78,40,55,165,30,29,153
44,248,3003,62,65,65,65,44,44,82,80,73,73,3,3,58,63,6,5,23,23,56,56,77,79,54,87,81,3,72,5,27,64,79,82,51,96,92,2,70,4,21,58,179,182,51,196,92,2,170,4,121,158
45,258,3370,95,85,85,85,45,55,95,95,95,90,80,82,25,20,30,33,75,76,25,24,78,87,61,95,86,85,16,35,79,22,89,97,64,95,89,98,16,35,82,20,89,197,164,195,189,98,116,35,182,20
46,444,3383,80,80,28,35,6,6,68,73,25,25,40,40,23,23,68,70,78,78,28,28,82,44,7,79,26,45,26,75,81,32,99,39,5,84,22,43,23,76,91,31,199,139,5,184,122,43,123,176,191,31
47,525,3266,94,88,27,29,16,16,80,80,77,76,5,6,64,72,17,16,55,55,33,35,87,32,16,80,76,7,77,15,54,38,94,25,16,87,79,5,86,14,52,32,194,25,16,187,79,5,86,114,52,32
48,763,3012,70,77,70,69,36,38,15,17,30,32,40,35,49,50,8,3,65,67,65,67,81,71,50,16,34,32,51,3,64,67,92,73,42,16,30,31,47,3,59,63,92,173,142,16,130,31,47,3,159,163
49,453,3317,83,85,3,3,4,4,79,80,58,65,48,48,58,60,84,85,7,9,60,58,87,3,4,86,73,50,65,87,10,55,94,3,3,89,77,42,65,95,10,53,94,3,103,189,77,142,165,95,10,153
50,467,3064,75,75,46,40,56,58,44,46,86,88,90,90,25,24,63,73,38,43,53,56,73,34,60,48,95,82,26,77,43,59,76,30,52,40,95,99,23,66,37,57,76,130,152,140,195,199,123,66,37,157
51,470,3122,42,42,12,11,68,66,6,6,67,70,73,73,83,89,72,72,33,30,43,43,43,10,61,5,72,74,95,71,25,44,36,10,57,4,70,80,95,69,19,39,136,10,57,104,170,180,195,169,119,139
52,551,3017,50,55,16,17,81,76,46,51,68,67,17,17,38,38,83,76,15,15,79,75,57,18,73,59,65,17,37,73,15,73,53,18,71,57,67,15,33,75,14,75,53,18,171,157,67,15,33,175,114,75
53,428,3296,62,68,23,25,31,24,55,61,48,50,43,59,57,57,2,2,83,80,65,70,69,25,21,64,52,60,51,3,77,74,63,19,15,59,54,52,46,2,84,81,63,119,115,159,54,152,46,2,84,81
54,443,3028,44,44,35,34,42,45,8,8,59,57,14,15,31,28,32,40,56,57,8,11,44,33,47,9,54,16,26,43,57,12,40,27,45,6,51,16,22,34,53,13,40,127,45,106,151,16,122,134,53,13
55,370,3054,31,31,72,73,56,57,61,63,29,27,68,69,79,81,78,78,26,26,82,82,33,76,64,68,19,73,88,86,16,86,27,79,59,62,22,83,98,100,24,90,127,79,159,162,22,183,198,200,124,190
56,370,3293,88,88,72,73,82,83,38,40,31,38,80,80,41,43,52,60,61,62,3,3,87,75,86,42,41,79,47,65,64,3,94,76,90,32,36,82,45,66,59,3,94,176,190,132,36,182,45,166,159,3
57,511,3200,75,75,88,88,73,75,32,32,10,9,10,9,85,85,42,45,12,11,68,68,77,86,81,28,8,9,88,50,10,69,86,89,91,26,6,7,100,41,9,63,86,189,91,26,6,107,100,141,9,63
58,512,3301,14,14,56,54,70,73,35,28,60,60,75,75,38,44,66,66,78,83,88,85,13,51,76,21,60,73,49,64,87,84,11,46,80,19,60,71,35,59,96,92,11,46,80,19,160,171,135,159,196,192
59,272,3131,47,50,17,17,82,82,87,87,24,22,13,13,80,78,48,42,90,90,65,65,51,16,81,86,19,13,73,34,87,65,49,16,91,90,17,11,77,31,94,67,149,16,191,90,117,11,77,131,194,67
60,371,3018,82,82,28,28,45,48,52,52,26,26,65,73,65,60,22,20,2,3,85,85,77,26,52,54,27,81,59,18,3,82,85,22,54,51,21,91,55,18,2,99,85,122,54,151,121,91,155,18,102,199
61,250,3046,35,33,60,60,44,45,66,65,2,2,5,5,50,50,1,1,21,22,60,60,31,60,51,67,3,5,53,1,26,59,27,60,47,63,3,4,48,1,22,54,27,60,47,163,3,4,148,1,122,154
62,385,3462,20,20,70,70,40,42,18,19,10,9,60,60,65,66,75,74,30,28,40,45,18,73,44,19,8,59,68,72,26,50,18,75,41,17,6,54,69,71,23,42,18,75,41,117,6,154,69,71,123,42
63,801,3191,46,48,6,7,24,25,78,78,32,30,53,50,72,72,78,78,50,54,45,45,49,8,25,77,22,48,72,76,56,45,43,6,18,84,20,33,72,79,62,44,143,6,118,84,120,133,172,79,62,44
64,361,3250,13,13,9,9,10,10,47,49,34,34,59,59,53,53,88,88,82,82,87,84,12,10,9,52,32,55,52,87,79,73,12,10,7,54,26,53,45,97,82,77,12,10,7,54,126,153,145,197,182,77
65,536,3277,68,70,23,16,83,76,6,11,62,62,57,50,31,25,54,59,32,29,60,65,76,16,76,11,62,50,22,64,26,69,80,24,85,8,61,44,20,59,23,67,80,124,185,108,61,144,20,159,123,167
66,240,3197,80,85,27,27,82,80,8,10,85,85,50,52,85,80,90,88,30,35,85,77,87,27,77,11,86,56,79,86,49,73,96,25,79,8,90,62,82,100,35,71,196,125,179,108,190,62,182,200,135,171
67,348,3052,77,77,31,31,4,4,79,79,68,69,19,18,66,66,47,50,67,69,18,18,78,32,5,78,72,17,67,55,73,19,89,25,4,78,70,15,64,53,75,17,89,25,4,178,170,15,64,153,175,117
68,384,3496,65,70,28,28,72,72,10,10,62,62,56,56,45,45,40,42,38,41,40,45,75,27,77,10,65,57,45,43,51,54,76,25,79,10,66,53,43,36,47,51,176,125,179,10,166,53,43,136,47,51
69,774,3261,61,63,54,54,22,22,63,68,27,42,36,15,16,14,9,9,43,47,56,66,65,55,22,71,49,16,14,10,51,71,67,53,20,73,43,24,12,10,46,68,67,153,120,173,143,124,112,10,46,68
70,423,3349,6,9,58,62,61,64,62,66,55,65,69,73,22,32,82,79,39,41,55,62,10,64,64,67,68,73,33,77,42,62,8,59,59,64,62,75,27,85,32,56,8,59,159,64,162,175,127,85,132,156
71,800,3253,3,3,47,49,73,75,40,43,30,20,21,16,43,44,86,80,34,29,2,2,3,52,77,47,16,12,48,77,28,3,2,50,84,45,16,11,38,79,26,3,102,50,84,45,116,111,138,179,26,3
72,359,3119,65,65,70,71,17,17,13,14,73,73,81,80,18,25,82,83,45,40,45,47,64,71,17,14,73,79,27,85,34,48,59,69,15,12,77,84,25,98,30,40,159,169,15,112,77,184,125,98,130,140
73,780,3356,75,74,9,10,69,75,65,65,59,63,11,11,87,83,35,35,75,75,19,17,71,10,78,67,66,10,81,32,77,15,74,8,88,65,72,10,91,26,86,14,74,8,188,65,72,110,191,126,86,114
74,1043,3057,39,50,71,71,67,66,23,34,68,72,40,51,5,5,12,16,22,22,51,47,50,71,66,34,72,51,5,16,22,47,41,69,72,28,71,48,4,16,21,45,141,169,72,128,71,48,104,16,21,45
75,528,3366,67,75,68,68,54,55,60,70,58,56,51,57,35,31,40,48,32,31,65,71,76,66,54,73,54,60,31,50,30,73,85,56,51,75,50,60,29,42,24,71,185,56,151,175,150,160,29,42,24,171
76,272,3028,47,44,30,30,45,45,15,10,48,51,20,17,25,25,34,37,67,62,8,10,44,33,47,9,54,16,26,43,57,12,40,27,45,6,51,16,22,34,53,13,40,127,45,106,151,16,122,134,53,13
77,959,3383,93,82,32,40,5,5,85,79,27,27,35,40,19,25,77,77,82,82,35,33,82,44,7,79,26,45,26,75,81,32,99,39,5,84,22,43,23,76,91,31,199,139,5,184,122,43,123,176,191,31
78,419,3484,78,78,45,46,88,88,39,43,58,59,72,73,43,48,68,69,21,25,3,3,77,48,85,44,61,74,54,71,31,3,87,40,98,39,64,77,50,73,27,2,87,140,98,39,164,177,150,173,27,102
79,268,3076,74,74,28,24,78,75,78,75,77,82,36,35,9,9,78,75,32,28,82,80,73,22,73,73,88,32,10,72,25,76,77,20,75,71,100,30,8,72,19,85,77,20,75,171,100,30,8,172,119,185
80,463,3401,70,72,42,42,39,40,50,52,28,28,8,8,2,2,85,82,70,69,53,53,78,44,44,53,28,10,3,79,64,54,88,40,39,48,26,10,2,84,58,51,188,40,139,148,26,10,102,184,158,151
81,313,3341,9,11,17,16,82,85,33,21,44,48,38,40,55,53,76,75,89,88,22,25,12,16,88,18,54,42,51,73,87,28,13,16,100,18,50,32,47,73,97,26,13,16,100,18,150,132,47,73,97,26
82,694,3192,63,64,2,3,66,68,37,36,35,30,19,19,85,89,43,45,79,79,95,90,62,5,68,32,16,21,87,48,72,86,61,4,62,30,24,19,95,33,72,89,61,4,162,30,124,19,95,133,172,189
83,515,3282,76,74,69,69,75,73,65,66,30,28,42,40,7,7,10,11,12,14,83,88,69,69,71,65,25,34,7,11,19,95,63,67,73,67,18,31,5,8,17,95,63,167,173,67,118,131,5,108,117,195
84,350,3426,31,40,3,2,46,52,68,69,6,7,89,88,91,87,78,74,19,18,41,46,45,1,54,71,8,87,85,71,18,50,43,1,49,68,6,94,98,74,18,42,43,1,49,68,6,194,98,74,18,142
85,950,3368,63,63,71,74,86,86,58,59,36,39,43,43,76,75,10,11,69,70,18,26,69,76,87,61,43,43,71,12,71,33,67,79,94,64,34,37,73,13,69,27,167,79,94,164,34,137,173,13,169,127
86,487,3172,40,40,25,19,70,66,50,55,45,43,36,35,75,73,30,33,65,75,55,57,44,22,65,51,44,36,72,34,73,60,39,20,67,47,39,38,74,28,73,60,139,20,67,147,39,38,174,28,73,160
87,476,3177,75,74,7,8,17,16,20,18,50,51,73,73,11,11,27,26,47,52,64,59,73,8,16,15,51,73,10,25,54,54,75,6,16,14,47,73,9,19,50,52,175,6,16,114,47,73,9,119,150,52
88,414,3338,50,57,54,52,74,73,62,54,78,78,65,67,24,20,68,72,34,44,68,68,60,52,73,54,79,69,18,74,48,69,60,54,75,49,84,63,18,70,38,67,160,54,175,49,184,63,18,70,138,167
89,543,3204,59,60,68,70,7,8,34,41,19,20,64,66,17,19,18,19,4,3,4,4,62,73,10,56,21,71,22,19,3,5,61,73,10,62,15,73,20,17,2,4,61,73,110,62,115,173,20,117,2,4
90,614,3121,26,24,62,68,18,22,56,62,38,44,39,44,10,14,37,34,62,68,88,92,14,65,16,60,53,44,12,32,71,87,13,66,16,52,46,41,13,31,68,94,113,166,16,152,146,41,13,31,68,194
91,670,3288,25,25,70,70,80,80,35,45,55,60,55,60,12,12,80,80,65,70,75,75,25,67,76,52,68,60,10,87,73,79,18,64,79,54,61,60,10,93,77,82,118,64,79,54,161,160,10,93,77,182
92,700,3168,69,69,72,70,17,17,58,58,58,58,54,54,73,73,78,78,62,62,23,24,67,68,16,55,54,44,73,75,52,32,65,61,16,53,51,39,76,76,50,25,65,161,16,153,151,39,76,176,50,25
93,622,3117,52,52,37,35,86,84,78,79,67,69,87,87,65,65,29,27,86,86,32,32,54,32,77,81,74,87,64,16,80,31,49,25,85,92,70,93,59,16,86,29,49,25,85,92,70,93,159,116,186,29
94,377,3396,9,10,88,85,19,21,34,36,90,90,92,90,55,58,28,30,90,90,38,36,11,76,26,38,86,77,65,41,87,34,8,79,23,32,88,85,67,36,94,31,108,79,123,32,88,85,67,36,94,131
95,313,3044,65,66,82,78,83,81,39,40,7,9,48,51,39,45,23,20,40,42,45,44,68,74,80,42,10,56,48,17,41,43,69,80,86,32,8,62,33,15,36,37,69,180,186,132,8,62,133,15,36,137
96,445,3387,8,8,34,35,27,28,49,50,2,2,15,15,26,27,6,7,79,80,67,69,9,47,25,53,3,15,36,10,87,73,6,45,18,48,2,14,38,10,97,76,106,45,118,148,102,114,38,10,97,76
97,529,3111,76,76,72,75,84,84,58,60,62,62,76,76,7,7,40,41,82,80,34,34,74,81,85,66,64,79,7,43,79,33,70,91,98,72,59,82,5,36,82,27,70,91,98,72,59,82,5,136,182,127
98,437,3253,3,3,54,53,81,79,35,40,21,18,15,13,41,43,85,77,20,23,2,2,3,52,77,47,16,12,48,77,28,3,2,50,84,45,16,11,38,79,26,3,102,50,84,45,116,111,138,179,26,3
99,330,3453,16,13,65,69,22,18,65,70,70,70,80,81,4,4,80,83,4,5,60,79,13,72,16,72,73,84,5,87,7,81,11,74,16,71,76,92,4,95,5,91,11,174,116,71,76,192,4,95,105,91
100,442,3003,71,70,71,73,44,46,80,80,63,64,3,3,59,59,2,5,30,28,69,65,77,79,54,87,81,3,72,5,27,64,79,82,51,96,92,2,70,4,21,58,179,182,51,196,92,2,170,4,121,158
101,316,3496,78,77,31,29,84,80,7,9,73,70,53,55,39,41,38,41,43,46,44,50,75,27,77,10,65,57,45,43,51,54,76,25,79,10,66,53,43,36,47,51,176,125,179,10,166,53,43,136,47,51
102,281,3418,55,55,30,30,40,57,43,45,35,40,75,80,1,1,40,40,23,23,65,68,52,34,60,47,54,87,3,35,25,72,54,29,60,45,50,96,2,35,23,71,54,129,160,45,150,96,102,35,23,71
103,321,3173,45,46,33,37,68,72,33,37,38,32,72,70,74,72,31,26,68,69,72,72,54,49,79,43,38,71,73,22,74,77,49,43,82,34,32,74,73,20,77,87,49,143,82,134,32,74,73,120,177,87
104,415,3226,60,62,70,73,70,72,25,27,22,22,57,61,56,59,61,65,70,70,60,64,64,76,75,34,21,68,62,77,71,68,59,85,76,29,15,61,56,87,73,69,159,185,176,129,115,161,156,87,173,69
105,444,3428,31,36,38,41,23,17,15,15,57,61,6,7,62,62,44,45,75,70,92,93,43,44,12,16,64,9,63,45,67,95,34,40,11,16,59,7,55,44,64,95,34,40,111,16,59,107,55,44,64,195
106,464,3270,64,60,6,7,75,72,11,12,65,65,74,73,47,50,12,12,25,28,30,36,54,9,66,14,65,71,54,13,34,44,52,6,56,14,67,73,51,11,29,39,52,106,56,14,67,173,51,11,129,139
107,811,3070,60,63,80,85,39,43,87,92,55,54,90,87,55,53,2,3,79,79,63,67,69,87,49,95,53,87,50,3,75,68,63,96,43,95,46,99,44,2,76,61,63,96,143,195,146,99,144,102,176,161
108,689,3019,79,79,84,88,41,47,38,40,65,71,23,23,26,28,22,20,34,43,75,76,79,95,54,43,79,25,32,19,51,79,81,95,51,37,82,23,31,17,47,84,181,195,151,37,82,23,31,17,147,184
109,412,3113,45,50,45,45,20,20,27,23,33,36,37,35,20,19,34,38,14,12,43,43,60,48,21,16,42,34,15,44,10,43,60,33,19,24,32,31,14,39,10,37,160,133,19,124,132,131,114,39,10,37
110,309,3409,3,3,41,46,37,34,20,19,56,57,3,3,75,77,60,61,62,67,73,70,3,48,32,18,59,3,81,54,68,67,2,40,31,18,55,3,91,50,69,64,2,140,31,18,155,3,191,150,69,64
111,399,3128,87,87,78,78,90,85,75,75,42,37,58,70,7,8,90,80,37,30,12,12,87,74,86,77,34,71,9,77,30,12,99,70,90,86,30,68,7,85,24,12,99,70,90,86,130,68,7,85,24,12
112,391,3285,44,44,16,16,44,44,70,80,44,44,50,55,9,9,67,67,50,50,66,66,43,11,45,88,50,73,8,72,65,86,37,8,43,98,44,73,6,74,66,90,37,108,43,198,144,73,6,174,166,90
113,351,3193,68,70,65,60,70,72,72,72,23,22,45,40,35,32,65,65,40,38,80,82,73,55,74,73,21,34,31,65,16,86,83,53,70,77,19,30,27,67,24,100,183,153,70,77,19,130,27,67,124,200
114,271,3195,60,60,3,3,27,27,46,46,4,4,70,65,56,54,93,95,30,30,32,25,76,3,42,51,5,65,54,95,32,25,85,2,32,48,4,67,51,95,25,18,185,2,132,48,4,67,151,195,25,118
115,1078,3472,5,5,16,15,72,72,11,11,48,52,42,42,46,48,53,55,76,80,48,48,5,14,73,11,51,43,56,59,86,50,4,13,76,8,46,36,62,57,90,41,4,113,76,108,46,136,62,157,190,141
116,343,3409,3,3,55,54,46,45,26,22,63,63,3,3,84,87,51,52,67,67,84,80,3,48,32,18,59,3,81,54,68,67,2,40,31,18,55,3,91,50,69,64,2,140,31,18,155,3,191,150,69,64
117,464,3382,28,28,15,15,63,63,8,8,75,75,80,85,23,19,40,45,30,30,55,55,28,14,65,9,78,87,16,49,25,60,26,12,65,7,78,96,16,43,19,52,26,112,165,7,178,96,16,143,119,152
118,664,3476,68,69,74,80,37,39,58,60,35,35,50,50,46,46,81,83,47,52,22,18,73,76,48,67,21,51,51,87,64,15,83,85,38,64,19,46,49,96,58,14,183,185,138,64,19,46,149,96,158,114
119,349,3370,88,82,80,85,55,58,90,92,89,85,74,79,22,18,29,33,76,77,19,20,78,87,61,95,86,85,16,35,79,22,89,97,64,95,89,98,16,35,82,20,89,197,164,195,189,98,116,35,182,20
120,292,3255,35,35,28,32,56,66,29,42,70,77,89,88,10,12,78,81,34,55,78,72,34,34,68,42,79,86,12,81,54,72,31,29,69,32,81,88,13,92,50,72,131,129,69,132,181,88,13,92,150,172
121,205,3343,72,70,43,41,81,83,48,48,13,13,25,28,8,8,83,81,11,11,85,85,71,32,87,51,14,31,7,79,12,87,73,31,96,47,12,29,5,83,11,95,173,31,96,47,112,29,105,83,111,95
122,576,3034,62,68,55,56,54,53,43,45,65,68,75,80,50,51,54,54,35,35,63,64,71,59,51,49,73,86,52,54,34,67,69,55,49,43,77,88,45,51,28,63,169,155,149,143,77,88,145,51,28,163
123,808,3200,81,81,91,91,72,72,25,25,7,7,5,8,90,90,40,45,10,10,55,64,77,86,81,28,8,9,88,50,10,69,86,89,91,26,6,7,100,41,9,63,86,189,91,26,6,107,100,141,9,63
124,749,3257,36,40,33,35,45,45,66,66,19,20,43,43,60,61,26,26,43,44,48,48,43,42,49,63,25,43,64,22,48,52,36,32,43,68,19,37,59,20,38,54,136,132,143,168,119,37,159,120,138,54
125,392,3344,66,68,78,79,27,23,90,90,8,8,76,76,56,60,22,25,51,52,70,70,72,81,16,88,10,73,66,27,53,68,70,92,24,98,10,75,72,21,46,69,170,92,124,198,10,75,72,121,146,69
