Respondent,duration,code,priorQ1,updatedQ1,priorQ2,updatedQ2,priorQ3,updatedQ3,priorQ4,updatedQ4,priorQ5,updatedQ5,priorQ6,updatedQ6,priorQ7,updatedQ7,priorQ8,updatedQ8 ,priorQ9,updatedQ9,priorQ10,updatedQ10 ,Advice1,Advice2,Advice3,Advice4,Advice5,Advice6,Advice7,Advice8,Advice9,Advice10,True1,True2,True3,True4,True5,True6,True7,True8,True9,True10,SlNoQ1,SlNoQ2,SlNoQ3,SlNoQ4,SlNoQ5,SlNoQ6,SlNoQ7,SlNoQ8,SlNoQ9,SlNoQ10
12,600,3172,19,17,64,70,78,73,23,27,13,13,65,72,71,75,30,21,40,55,85,90,18,72,75,27,12,72,73,22,52,85,15,70,80,18,12,81,73,20,35,93,15,170,80,118,12,81,73,120,135,93
13,442,3316,62,62,74,70,80,72,85,85,20,25,60,68,31,45,42,46,8,8,50,50,63,70,75,82,28,72,50,52,8,62,56,62,85,78,25,68,43,42,6,52,156,162,85,78,125,68,143,142,6,152
14,286,3381,29,25,70,68,39,40,69,72,38,38,21,21,73,73,40,35,58,58,68,65,15,62,45,78,35,16,72,27,60,60,14,57,40,92,29,16,72,19,60,60,114,57,40,92,129,116,172,119,160,60
15,472,3427,15,13,67,70,63,65,14,14,82,80,66,64,77,76,78,76,15,20,81,76,13,75,70,14,78,62,75,74,28,72,11,70,67,14,78,57,84,85,21,75,11,70,167,14,178,57,84,185,121,75
16,400,3025,50,45,40,25,65,70,65,60,35,27,70,63,80,75,80,80,40,25,50,54,45,22,70,60,22,60,72,85,25,54,44,15,63,60,20,54,72,96,23,48,44,115,63,160,120,154,172,196,23,148
17,381,3173,80,81,75,77,23,18,47,55,60,60,5,4,74,74,33,36,42,58,20,25,85,78,15,72,60,3,75,35,68,32,88,81,14,71,54,2,88,31,69,29,88,181,114,71,154,2,188,131,69,29
18,542,3301,5,5,36,36,61,62,27,32,78,76,44,50,23,17,43,43,46,49,79,79,7,45,65,35,75,52,15,45,62,74,5,32,59,31,84,42,14,43,52,71,105,132,159,131,84,42,114,43,152,171
19,561,3232,61,60,70,70,50,58,73,73,81,82,25,29,35,50,67,68,76,75,87,85,58,70,62,75,82,35,52,68,73,84,53,74,52,79,92,29,54,69,73,99,53,74,152,79,192,129,54,69,73,99
20,236,3152,63,62,75,76,82,82,42,44,13,14,18,23,67,68,31,35,42,45,68,71,60,78,82,45,15,28,68,45,52,75,54,78,98,37,14,21,64,39,42,87,154,178,98,37,114,121,64,139,42,87
21,503,3276,43,36,82,82,55,53,55,62,60,56,3,3,72,72,87,76,80,84,86,86,35,82,52,65,55,3,70,78,85,85,28,98,54,59,53,3,61,87,95,100,128,98,54,59,153,3,161,187,95,100
22,399,3230,70,72,75,80,4,3,45,45,30,25,29,27,73,76,46,48,52,66,17,15,74,85,3,45,18,22,85,54,65,13,71,95,2,37,18,21,90,48,72,11,171,95,102,37,18,21,90,148,72,11
23,665,3168,76,76,36,36,82,82,37,39,83,81,31,31,65,72,5,7,36,36,40,35,72,38,78,52,78,28,75,7,18,32,80,33,87,35,82,25,79,5,22,29,180,33,187,135,182,125,79,5,22,29
24,515,3378,66,69,72,72,79,79,85,85,72,68,84,84,42,43,43,50,36,43,66,68,72,74,78,84,65,85,45,52,45,70,75,85,84,99,59,98,41,33,32,74,175,185,184,99,59,198,41,133,132,74
25,538,3429,70,70,45,49,73,68,43,30,40,49,87,86,85,85,86,84,30,26,36,45,70,52,62,22,55,85,85,82,22,55,83,42,57,21,53,97,94,100,20,50,183,42,57,21,153,97,194,200,120,150
26,252,3190,95,80,45,45,27,28,95,90,76,80,33,37,3,3,55,60,37,37,30,33,75,55,32,85,85,45,3,65,35,34,84,62,30,95,96,41,2,66,35,25,84,62,30,95,96,41,2,166,35,25
27,497,3097,3,3,1,1,82,82,67,67,14,14,5,5,71,71,64,66,88,88,42,42,3,2,82,68,14,5,70,68,85,35,2,1,100,56,12,4,74,69,100,38,102,101,200,56,112,104,74,69,100,38
28,983,3097,4,4,2,2,89,84,68,68,13,13,7,6,72,72,66,67,74,82,31,33,3,2,82,68,14,5,70,68,85,35,2,1,100,56,12,4,74,69,100,38,102,101,200,56,112,104,74,69,100,38
29,449,3129,84,80,83,85,86,79,65,69,78,85,35,32,78,80,58,70,85,80,23,16,78,85,78,70,85,32,82,72,75,14,81,90,84,74,97,31,92,69,89,24,181,190,184,74,97,31,192,169,89,124
30,835,3348,62,68,88,80,52,59,40,51,49,35,46,54,12,12,92,80,87,82,73,75,72,78,65,55,32,58,10,78,78,78,75,78,58,49,30,53,9,84,99,87,75,178,58,49,30,53,109,184,199,187
31,487,3018,45,45,9,9,49,51,33,34,8,10,22,22,23,22,82,78,53,54,48,49,45,10,54,35,12,18,20,75,55,52,39,6,45,38,8,22,17,84,52,42,39,106,145,38,108,22,117,84,52,142
32,586,3095,68,68,82,80,62,66,41,49,61,61,6,9,70,71,47,49,72,76,70,70,75,76,70,52,63,10,73,52,80,72,70,79,61,47,56,10,77,47,66,75,70,179,161,147,156,10,177,47,66,75
33,403,3022,5,5,70,71,25,30,38,40,24,25,53,53,90,88,78,77,79,79,57,60,7,72,34,45,27,52,85,74,78,65,5,81,26,34,18,44,88,85,81,59,105,81,126,134,118,144,88,185,181,59
34,520,3038,23,25,37,41,16,15,41,47,16,12,26,24,41,41,65,70,2,2,52,54,27,45,13,52,10,22,42,75,2,55,18,39,11,41,9,20,36,84,1,51,118,39,11,141,109,120,36,84,101,151
35,426,3090,64,68,22,19,78,78,69,67,25,25,75,72,50,50,69,69,23,23,83,83,75,15,72,63,27,68,52,70,20,78,86,14,81,56,23,56,47,63,17,91,86,114,81,156,123,56,47,63,117,191
36,782,3044,54,46,55,70,37,40,50,55,34,25,37,42,60,55,20,22,74,76,42,44,50,75,40,45,27,50,62,20,75,45,38,70,32,44,22,43,68,17,76,37,138,70,32,44,122,143,168,117,176,37
37,379,3453,79,78,27,25,34,34,67,69,66,66,82,81,4,4,26,29,27,27,85,85,72,18,32,72,65,78,3,34,28,85,72,18,24,71,66,78,3,26,21,97,172,18,24,71,166,178,3,126,121,97
38,393,3034,82,80,29,28,72,72,76,76,5,6,14,14,1,1,78,78,73,73,64,64,76,22,72,75,10,14,1,78,72,65,79,20,77,76,7,14,1,82,75,67,179,120,77,176,7,14,1,182,75,67
39,195,3439,30,30,3,1,20,45,50,68,30,22,30,50,50,55,75,72,50,45,35,32,35,1,45,68,22,50,55,72,45,32,31,1,39,64,21,40,51,77,36,31,131,1,139,64,21,140,51,77,136,31
40,372,3315,10,8,80,80,26,30,50,55,30,44,82,75,30,28,32,22,1,1,85,76,7,78,32,55,45,72,27,22,1,74,5,92,27,49,34,70,23,20,1,71,5,92,27,49,34,170,123,20,1,171
41,335,3020,60,65,52,54,68,62,75,75,55,58,42,48,51,52,42,45,42,48,90,87,67,55,60,75,60,52,52,48,50,85,65,53,60,87,55,47,48,45,43,94,65,153,60,87,155,147,48,45,143,194
42,403,3423,28,33,36,36,83,84,84,82,37,43,14,15,8,8,12,12,41,42,56,56,45,35,85,75,48,16,9,12,50,65,34,29,90,89,45,16,7,11,43,58,134,129,90,89,45,16,107,111,143,58
43,492,3204,40,38,55,60,51,49,60,60,36,25,71,72,55,51,46,38,22,18,75,74,32,65,45,62,22,78,52,35,16,73,24,58,37,57,20,84,47,35,16,77,24,58,37,57,20,184,147,35,116,177
44,633,3272,12,13,42,37,10,12,85,83,77,74,35,35,88,85,57,58,53,56,90,88,14,32,14,82,72,35,82,60,58,85,13,31,14,100,75,27,93,60,53,90,113,31,14,200,175,127,193,160,53,90
45,685,3135,53,57,13,13,65,65,57,60,32,32,72,75,45,55,55,55,46,50,50,58,65,13,65,68,35,78,65,52,54,60,58,11,59,69,28,92,55,46,45,64,58,11,59,69,28,92,55,46,145,164
46,1225,3011,78,80,65,68,45,45,24,23,58,63,36,45,45,52,35,36,72,75,81,81,82,72,45,22,72,55,60,38,78,82,98,74,37,21,71,46,60,33,84,100,98,174,137,21,71,146,160,33,184,200
47,409,3036,13,13,35,30,69,80,68,68,28,28,10,10,42,47,40,40,68,68,31,35,12,27,85,73,27,12,54,45,74,52,12,18,97,73,22,13,48,39,71,35,12,118,97,73,122,13,148,139,171,135
48,352,3046,68,65,34,24,12,12,65,65,5,6,32,32,47,49,75,74,9,9,70,70,60,18,10,65,8,32,52,68,10,70,60,15,9,66,6,24,54,64,9,74,60,15,109,166,6,24,54,64,9,74
49,461,3124,52,58,37,35,80,85,67,72,5,5,76,85,32,25,74,75,78,83,45,55,60,35,85,72,5,85,14,75,85,55,57,31,90,80,4,97,24,70,96,62,157,131,190,180,4,197,124,70,96,62
50,292,3392,11,13,56,58,87,81,86,82,84,85,77,78,46,54,16,15,91,78,90,94,14,60,78,82,85,78,52,15,75,95,14,64,78,93,98,83,49,14,89,95,14,164,178,193,198,83,149,114,89,195
51,401,3020,65,67,45,55,68,60,76,75,45,60,40,52,40,52,40,48,40,50,80,85,67,55,60,75,60,52,52,48,50,85,65,53,60,87,55,47,48,45,43,94,65,153,60,87,155,147,48,45,143,194
52,302,3393,5,5,32,32,83,83,85,85,43,45,57,58,65,65,66,66,41,41,50,50,7,38,85,84,52,65,72,70,45,52,5,33,98,99,44,59,74,73,43,46,105,33,198,99,144,159,174,173,43,46
53,470,3374,37,40,38,38,66,65,42,37,9,9,28,30,70,75,82,85,30,33,40,43,48,45,62,35,10,32,82,95,38,45,45,41,52,35,9,30,92,95,33,39,45,41,152,35,9,30,192,195,33,139
54,309,3464,78,78,68,69,33,38,51,60,57,58,90,91,45,50,45,47,60,62,30,30,78,72,45,67,65,95,54,54,70,32,87,70,34,65,59,95,48,45,62,31,187,170,134,65,59,195,148,145,162,31
55,568,3075,53,53,67,67,36,38,31,28,37,40,50,47,40,45,90,90,60,65,60,70,70,70,52,18,45,45,52,85,65,72,63,83,41,22,41,44,50,97,59,68,63,183,141,22,41,44,50,197,59,68
56,1078,3396,35,40,91,75,45,55,50,52,90,85,8,10,90,90,55,74,90,78,65,65,40,75,55,52,85,10,85,74,78,62,32,87,49,42,88,6,93,85,99,57,32,87,49,42,88,106,93,185,199,57
57,397,3059,35,40,55,54,11,11,75,74,80,80,40,40,72,72,35,35,38,42,55,55,45,52,10,72,78,35,72,35,45,55,41,49,9,71,86,30,75,27,39,46,41,149,109,71,186,130,175,127,39,146
58,799,3297,58,62,5,4,72,76,41,37,41,45,19,16,90,89,31,32,5,4,66,70,65,3,80,32,50,14,85,34,4,70,58,2,66,31,38,24,94,26,3,83,58,2,66,31,138,124,194,126,103,183
59,411,3028,36,28,58,54,90,88,32,32,70,72,95,95,85,78,8,9,18,18,61,61,14,54,85,35,78,95,75,10,18,60,24,45,97,28,92,95,89,8,15,55,124,145,197,28,92,195,89,8,15,155
60,270,3171,8,8,47,55,17,17,85,83,10,10,7,8,84,83,77,77,75,75,78,81,10,60,16,78,10,10,78,78,75,85,6,60,16,81,9,7,87,82,87,98,106,160,116,181,109,7,187,182,87,198
61,692,3238,44,44,66,64,12,12,67,68,23,24,72,72,69,65,36,36,78,78,33,34,45,52,10,73,28,68,62,35,76,40,41,50,9,77,25,64,61,28,79,32,41,50,9,177,125,64,61,28,179,32
62,622,3407,2,2,32,32,43,34,27,28,66,52,2,3,83,83,45,45,76,74,85,80,3,32,32,28,45,3,70,42,72,78,2,24,31,26,43,2,74,36,70,91,2,24,31,26,43,102,74,36,170,191
63,822,3022,6,6,75,75,30,30,32,41,36,29,47,51,91,87,75,75,80,80,66,66,7,72,34,45,27,52,85,74,78,65,5,81,26,34,18,44,88,85,81,59,105,81,126,134,118,144,88,185,181,59
64,739,3138,69,69,3,3,61,61,70,72,75,70,7,8,80,80,45,50,42,50,80,80,65,3,65,75,68,10,75,55,55,78,59,3,59,79,64,7,88,62,46,83,59,3,159,79,64,7,188,62,146,83
65,262,3319,47,52,60,61,71,71,77,81,57,56,83,85,40,42,6,6,38,40,84,82,60,65,72,85,55,95,52,7,45,75,64,58,80,98,52,95,35,5,41,79,164,158,180,198,52,195,135,5,41,79
66,567,3060,52,55,47,50,84,81,45,52,26,26,46,54,4,4,85,79,82,80,44,46,60,52,75,63,27,55,5,76,75,52,55,47,89,56,23,51,4,79,85,44,155,147,89,156,123,51,104,179,85,144
67,596,3320,69,71,43,43,64,65,67,67,72,73,27,37,51,51,29,27,70,72,24,24,78,45,72,68,78,52,52,27,78,28,82,37,81,64,91,35,44,22,91,25,82,137,81,64,191,135,144,122,91,125
68,509,3285,75,75,44,48,43,40,38,38,68,70,80,75,76,75,82,80,78,78,2,3,75,52,35,45,80,72,72,78,72,3,70,54,35,40,66,74,81,99,80,3,70,54,35,40,66,174,81,199,180,3
69,450,3196,35,34,5,5,10,11,13,13,2,2,70,71,3,3,60,64,16,22,7,8,32,5,12,13,2,72,3,67,28,10,24,4,8,11,1,81,3,65,21,7,24,104,108,11,101,81,3,65,121,7
70,1741,3194,67,69,10,11,15,19,73,73,29,28,41,38,83,80,16,15,73,75,33,39,70,10,20,75,27,35,75,14,78,42,63,8,17,85,22,31,84,13,87,36,63,8,117,85,122,131,84,113,187,36
71,389,3401,72,72,68,70,65,68,7,8,64,64,30,33,70,78,82,82,24,26,45,45,73,74,70,9,70,35,76,85,45,50,77,71,74,7,83,28,79,96,34,40,177,171,74,107,183,128,179,196,134,140
72,594,3357,68,70,44,44,53,54,36,37,88,89,65,67,29,33,6,6,26,28,82,81,72,45,55,40,78,70,35,7,32,78,70,44,51,32,99,61,28,5,24,84,170,44,151,32,199,161,128,105,24,184
73,664,3103,31,30,76,76,32,35,5,5,83,83,10,10,46,55,16,17,28,28,78,78,28,75,45,4,78,10,65,19,28,75,21,87,43,3,81,9,58,17,26,84,121,87,43,103,181,109,58,17,26,84
74,367,3316,67,65,68,69,84,84,83,83,29,28,68,70,38,42,51,51,6,8,45,50,63,70,75,82,28,72,50,52,8,62,56,62,85,78,25,68,43,42,6,52,156,162,85,78,125,68,143,142,6,152
75,419,3224,94,94,10,10,69,70,49,50,36,39,30,30,71,71,76,76,78,78,61,62,85,10,70,55,45,22,72,75,78,65,94,6,63,62,40,20,76,86,92,65,94,106,63,62,40,120,76,86,92,165
76,1003,3108,32,32,55,55,55,90,78,78,95,95,60,68,37,39,1,2,80,80,80,80,34,52,85,78,85,65,45,3,75,72,26,48,90,82,94,59,39,2,76,75,126,48,190,182,194,59,139,102,176,175
77,682,3395,2,2,45,45,38,38,3,3,95,95,85,80,35,35,90,88,20,19,45,45,2,52,42,3,95,75,35,85,18,52,1,33,36,2,95,89,30,95,18,50,101,133,36,2,195,89,130,95,18,50
78,805,3439,37,33,3,2,26,28,62,65,24,24,27,44,48,48,65,65,38,42,38,34,35,1,45,68,22,50,55,72,45,32,31,1,39,64,21,40,51,77,36,31,131,1,139,64,21,140,51,77,136,31
79,194,3412,79,78,68,69,39,39,64,68,11,11,7,7,64,62,39,35,2,1,40,40,76,72,45,68,12,5,60,22,1,52,79,76,41,69,12,4,55,21,1,33,179,76,41,69,12,104,155,21,1,133
80,385,3333,19,19,61,61,38,40,77,74,80,81,26,29,6,6,49,55,16,14,59,59,22,65,42,75,85,32,7,55,12,62,19,59,36,70,96,27,5,53,11,61,19,59,36,70,196,27,105,153,111,61
81,357,3001,45,40,11,11,70,68,45,45,34,35,76,74,39,39,80,78,93,90,87,85,35,12,65,45,35,72,52,78,85,82,30,12,66,39,28,69,33,91,95,98,130,12,166,39,28,169,133,91,95,98
82,251,3370,32,45,72,75,82,84,40,48,6,7,15,13,9,9,44,48,7,6,76,77,45,78,85,52,7,12,8,48,5,78,41,92,88,42,5,8,6,45,4,87,41,92,88,42,5,108,6,45,4,187
83,410,3291,43,47,78,74,60,60,62,62,56,58,58,58,73,73,3,3,3,3,21,22,52,68,55,62,65,52,72,3,3,25,42,64,52,61,58,48,71,2,3,23,142,64,52,61,58,48,71,102,3,23
84,853,3101,86,86,79,70,15,15,13,13,52,46,55,59,75,75,88,80,38,36,59,63,85,65,16,14,45,65,72,75,35,68,90,67,16,12,39,55,70,84,30,69,90,67,16,112,39,55,170,84,130,69
85,135,3499,30,22,30,52,60,73,50,65,20,22,30,55,70,78,15,22,80,95,25,32,22,52,73,65,22,55,78,22,95,32,20,41,73,58,21,62,82,15,95,29,120,141,73,58,21,62,82,115,195,29
86,1098,3152,63,61,78,78,82,82,43,44,21,18,27,27,79,72,38,42,48,50,77,75,60,78,82,45,15,28,68,45,52,75,54,78,98,37,14,21,64,39,42,87,154,178,98,37,114,121,64,139,42,87
87,373,3176,82,82,58,58,38,45,60,60,75,75,60,60,67,67,24,22,60,56,85,85,78,55,52,54,72,62,70,19,52,75,91,52,35,45,80,52,73,17,48,89,191,52,135,145,180,152,173,17,48,89
88,678,3284,65,68,41,48,11,9,19,25,74,76,12,12,68,70,14,12,17,15,9,9,72,52,10,27,78,12,72,13,14,10,68,35,9,19,87,13,81,11,13,9,68,135,109,119,187,13,81,11,113,9
89,304,3318,55,55,76,79,71,71,75,75,23,25,35,35,63,63,72,73,52,51,80,77,55,82,72,75,27,35,63,74,50,75,49,78,75,87,22,38,56,85,40,88,49,78,175,87,122,38,156,185,140,188
90,739,3306,22,22,62,65,73,73,82,85,88,86,43,46,56,58,85,85,31,40,18,16,22,68,73,85,85,52,60,85,45,14,15,64,77,89,88,54,60,97,34,13,115,64,177,189,88,54,160,97,134,113
91,511,3194,62,68,8,8,17,18,75,75,23,25,36,36,80,77,14,14,85,82,37,38,70,10,20,75,27,35,75,14,78,42,63,8,17,85,22,31,84,13,87,36,63,8,117,85,122,131,84,113,187,36
92,542,3008,19,12,19,20,22,22,29,31,60,60,58,61,83,83,35,43,86,80,84,83,10,22,22,35,62,65,84,45,78,82,9,15,20,31,61,72,99,41,81,98,109,115,20,131,61,72,99,41,181,98
93,437,3213,35,35,67,67,13,13,53,53,59,61,54,57,10,10,23,28,80,80,91,91,35,70,12,52,68,65,10,34,85,95,27,74,12,46,69,59,9,26,96,95,127,74,12,46,69,59,9,126,196,195
94,607,3108,28,31,52,52,84,84,87,82,91,90,61,63,36,41,5,4,72,73,70,70,34,52,85,78,85,65,45,3,75,72,26,48,90,82,94,59,39,2,76,75,126,48,190,182,194,59,139,102,176,175
95,973,3274,43,43,76,75,43,43,78,77,28,28,27,28,23,23,62,63,84,83,67,68,45,72,45,75,32,34,20,65,82,72,36,81,37,70,27,25,17,65,100,80,136,81,37,70,27,25,117,165,200,180
96,315,3241,32,26,28,32,81,75,30,30,71,76,76,76,42,48,57,55,74,74,50,50,22,35,72,28,78,78,52,52,72,45,20,28,75,26,91,84,47,54,71,39,20,128,75,26,91,184,147,54,71,39
97,991,3103,17,22,65,67,42,43,4,4,79,79,11,10,48,62,21,19,26,27,95,92,28,75,45,4,78,10,65,19,28,75,21,87,43,3,81,9,58,17,26,84,121,87,43,103,181,109,58,17,26,84
98,743,3074,20,20,17,17,10,11,26,26,29,28,85,86,80,81,31,45,4,4,79,86,22,16,12,28,27,85,82,52,4,95,21,16,8,25,18,89,93,41,3,95,21,16,108,125,118,189,193,141,103,195
99,450,3126,62,64,36,37,28,24,52,52,80,78,78,76,28,33,37,27,69,74,38,43,67,38,18,52,75,75,35,28,75,45,65,33,22,47,85,89,29,25,84,43,65,33,22,147,85,89,129,125,84,43
100,503,3459,62,59,84,84,43,48,8,9,77,75,89,86,29,23,16,14,85,83,17,17,52,82,52,10,72,85,18,10,78,18,46,100,42,10,70,98,15,9,82,22,46,200,42,10,170,198,15,109,82,22
101,1159,3445,15,15,93,88,48,49,6,9,52,62,41,37,51,51,9,9,87,90,53,53,14,84,55,10,70,35,52,10,85,54,14,99,46,8,61,35,50,9,96,48,14,99,146,8,161,35,50,9,196,148
102,483,3056,35,35,25,25,40,40,39,49,43,43,78,68,83,83,68,69,73,73,5,5,40,22,18,50,50,65,95,75,74,5,32,20,22,40,43,66,95,80,85,4,32,20,22,140,143,166,195,80,185,104
103,746,3101,75,80,70,67,18,16,15,15,56,50,67,67,58,68,90,90,33,33,62,65,85,65,16,14,45,65,72,75,35,68,90,67,16,12,39,55,70,84,30,69,90,67,16,112,39,55,170,84,130,69
104,314,3309,12,12,7,8,48,62,84,84,54,54,90,87,34,49,51,51,39,52,91,89,10,8,65,82,55,85,52,50,52,85,10,6,65,93,62,96,35,40,42,94,110,6,165,193,62,96,135,140,142,194
105,248,3077,47,46,44,49,18,17,65,62,70,72,80,85,45,38,30,42,65,62,60,68,45,52,15,60,72,85,35,45,60,70,44,41,14,57,77,88,35,36,60,61,44,141,114,157,77,88,35,136,60,161
106,287,3075,66,68,66,68,47,49,25,22,43,43,55,50,52,52,77,80,69,67,66,68,70,70,52,18,45,45,52,85,65,72,63,83,41,22,41,44,50,97,59,68,63,183,141,22,41,44,50,197,59,68
107,674,3081,74,74,80,82,47,52,68,75,50,60,48,46,86,80,11,9,74,74,12,15,72,84,54,72,65,45,78,9,75,22,80,99,45,71,58,43,87,7,87,15,180,99,145,71,58,43,187,107,87,115
108,326,3121,45,45,52,58,8,9,55,56,40,40,36,32,80,82,32,32,63,67,26,25,45,62,10,58,42,22,85,32,67,22,37,61,8,53,36,20,97,29,65,20,37,61,8,53,36,120,197,29,65,20
109,527,3036,15,13,22,28,84,88,76,72,25,24,8,11,56,57,34,38,65,72,42,43,12,27,85,73,27,12,54,45,74,52,12,18,97,73,22,13,48,39,71,35,12,118,97,73,122,13,148,139,171,135
110,500,3195,72,76,34,34,78,78,62,52,76,74,50,47,55,55,83,78,51,51,57,56,78,34,78,52,73,48,62,78,52,55,84,26,86,50,77,45,68,78,44,46,184,126,186,50,177,45,168,178,144,146
111,385,3214,84,80,32,33,81,83,22,23,64,72,26,28,92,92,52,58,72,72,68,73,75,34,85,25,78,32,95,65,72,78,89,25,97,23,91,24,95,55,77,92,89,25,197,23,91,24,195,55,77,92
112,455,3311,61,60,65,62,40,45,32,40,10,10,75,72,40,45,5,5,10,12,80,75,60,62,50,45,10,72,45,5,12,72,64,52,40,32,6,69,37,4,8,77,164,152,140,132,106,169,37,104,108,77
113,352,3463,35,35,33,35,85,85,85,85,60,60,68,68,55,60,35,35,85,85,13,13,32,45,82,76,60,60,65,32,75,14,31,34,98,79,64,54,58,27,84,14,31,134,98,179,164,154,58,27,84,14
114,669,3113,52,52,83,83,58,60,17,20,16,14,12,12,45,45,75,75,39,45,70,75,52,85,68,25,14,12,45,74,55,85,49,89,56,23,13,12,43,85,46,96,149,189,56,23,113,12,43,185,146,196
115,1132,3067,1,1,48,50,42,45,37,35,64,70,30,27,76,77,68,68,78,78,27,20,1,55,52,34,70,22,78,67,78,14,1,50,47,25,67,21,81,65,78,24,1,150,147,25,167,21,181,65,178,124
116,500,3024,58,58,78,79,32,32,82,82,2,1,65,65,12,12,44,50,39,39,37,40,55,82,34,85,1,68,10,52,45,50,53,100,26,88,1,63,9,46,37,43,153,200,126,88,1,163,9,46,137,143
117,372,3432,33,31,31,25,45,47,50,58,75,75,50,50,45,55,50,50,31,25,45,45,28,22,52,65,75,52,55,54,22,45,26,20,54,55,86,48,46,45,21,39,26,120,54,55,86,48,146,145,21,39
118,615,3169,63,70,80,75,44,45,7,7,50,48,16,18,10,10,56,57,6,9,90,85,72,72,48,7,55,18,10,70,10,78,70,72,45,5,62,15,6,67,8,91,170,172,45,105,62,15,106,167,8,191
119,502,3365,24,26,35,40,60,57,80,80,75,78,62,62,65,65,67,68,12,13,55,58,27,45,55,85,85,72,80,74,14,60,22,40,51,98,93,69,66,71,12,64,122,40,151,198,93,169,66,171,112,164
120,1007,3327,46,45,25,14,87,86,18,18,37,50,50,60,93,91,37,40,24,23,31,40,45,12,85,18,60,65,85,45,22,45,40,11,90,22,55,55,94,39,20,41,40,111,190,22,155,55,94,139,120,41
121,514,3076,26,32,80,85,31,27,67,70,45,52,78,75,51,55,2,3,64,75,12,12,32,85,27,72,52,75,55,3,80,12,30,100,19,71,47,80,62,2,66,11,30,100,119,71,47,80,62,102,66,111
122,740,3433,21,22,73,75,83,84,24,23,34,40,85,83,24,31,46,51,69,69,41,46,27,78,85,22,45,78,32,55,70,55,22,81,96,21,37,99,29,52,73,51,122,181,196,21,37,199,29,52,173,51
123,410,3302,73,75,64,62,54,54,11,11,44,47,83,84,27,29,85,95,42,44,54,59,74,62,52,10,50,85,32,85,45,62,85,57,50,9,40,100,27,89,37,68,185,57,50,9,140,100,27,189,137,168
124,449,3213,35,35,70,70,10,13,65,55,70,70,55,60,10,10,20,30,80,85,95,95,35,70,12,52,68,65,10,34,85,95,27,74,12,46,69,59,9,26,96,95,127,74,12,46,69,59,9,126,196,195
125,251,3347,63,64,82,79,72,74,48,50,78,78,11,12,6,5,55,54,17,16,48,46,65,75,76,52,78,12,5,52,15,45,66,85,79,48,78,8,4,50,14,37,166,85,179,48,178,108,4,50,114,137
